name,stargazers,clone_url,description
fighting41love/funNLP,75674,https://github.com/fighting41love/funNLP.git,"中英文敏感?、?言??、中外手机/????地/??商查?、名字推?性?、手机?抽取、身份?抽取、?箱抽取、中日文人名?、中文???、拆字?典、??情感值、停用?、反??表、暴恐?表、繁?体??、英文模?中文?音、汪峰歌?生成器、??名???、同???、反???、否定??、汽?品牌??、汽?零件??、??英文切割、各种中文?向量、公司名字大全、古???、IT??、????、成???、地名??、?史名人??、????、????、?食??、法律??、汽???、?物??、中文聊天?料、中文?言?据、百度中文?答?据集、句子相似度匹配算法集合、bert?源、文本生成&摘要相?工具、cocoNLP信息抽取工具、??????正?匹配、清?大?XLORE:中英文跨?言百科知???、清?大?人工智能技?系列?告、自然?言生成、NLU太?了系列、自????据及机器人、用?名黑名?列表、罪名法?名?及分?模型、微信公???料、cs224n深度??自然?言?理?程、中文手??字??、中文自然?言?理 ?料/?据集、?量命名神器、分??料?+代?、任?型??英文?据集、ASR ?音?据集 + 基于深度??的中文?音??系?、笑???器、Microsoft多?言?字/?位/如日期????包、中?新?字典?据?及api(包括常用歇后?、成?、??和?字)、文???自?生成、SpaCy 中文模型、Common Voice?音???据集新版、神?网??系抽取、基于bert的命名?体??、???(Keyphrase)抽取包pke、基于???域知???的?答系?、基于依存句法与??角色?注的事件三元?抽取、依存句法分析4万句高?量?注?据、cnocr：用?做中文OCR的Python3包、中文人物?系知????目、中文nlp???目及代???、中文字符?据、speech-aligner: ?“人??音”及其“?言文本”?生音素???????注的工具、AmpliGraph: 知???表示??(Python)?：知???概念?接??、Scattertext 文本可?化(python)、?言/知?表示工具：BERT & ERNIE、中文?比英文自然?言?理NLP的???述、Synonyms中文近??工具包、HarvestText?域自适?文本挖掘工具（新???-情感分析-?体?接等）、word2word：(Python)方便易用的多?言?-??集：62种?言/3,564?多?言?、?音???料生成工具：?具有音?/字幕的在????建自??音??(ASR)?料?、构建???体??的模型（包含?典和?料?注）、?文?非?督的???抽取、Kashgari中使用gpt-2?言模型、?源的金融投??据提取工具、文本自?摘要?TextTeaser: ?支持英文、人民日??料?理工具集、一些?于自然?言的基本模型、基于14W歌曲知??的?答??--功能包括歌?接?and已知歌?找歌曲以及歌曲歌手歌?三角?系的?答、基于Siamese bilstm模型的相似句子判定模型并提供???据集和???据集、用Transformer?解?模型??的根据Hacker News文章??自?生成??、用BERT?行序列??和文本分?的模板代?、LitBank：NLP?据集——支持自然?言?理和?算人文?科任?的100部???英文小??料、百度?源的基准信息抽取系?、?假新??据集、Facebook: LAMA?言模型分析，提供Transformer-XL/BERT/ELMo/GPT????言模型的?一??接口、CommonsenseQA：面向常?的英文QA挑?、中文知????料、?据及工具、各大公司?部里大牛分享的技?文? PDF 或者 PPT、自然?言生成SQL?句（英文）、中文NLP?据增?（EDA）工具、英文NLP?据增?工具 、基于??知???的智能?答系?、京?商品知???、基于mongodb存?的?事?域知????答?目、基于??督的中文?系抽取、?音情感分析、中文ULMFiT-情感分析-文本分?-?料及模型、一?拍照做?程序、世界各?大?模人名?、一?利用有趣中文?料? qingyun ??出?的中文聊天机器人、中文聊天机器人seqGAN、省市??行政?划?据?拼音?注、教育行?新??料?包含自?文摘功能、?放了??机器人-知???-??理解-自然?言?理工具及?据、中文知???：基于百度百科中文?面-抽取三元?信息-构建中文知???、masr: 中文?音??-提供???模型-高??率、Python音??据增??、中文全?覆?BERT及?份??理解?据、ConvLab：?源多域端到端??系?平台、中文自然?言?理?据集、基于最新版本rasa搭建的??系?、基于TensorFlow和BERT的管道式?体及?系抽取、一?小型的?券知???/知??、复?所有NLP比?的TOP方案、OpenCLaP：多?域?源中文????言模型??、UER：基于不同?料+??器+目?任?的中文???模型??、中文自然?言?理向量合集、基于金融-司法?域(兼有?聊性?)的聊天机器人、g2pC：基于上下文的???音自???模?、Zincbase 知???构建工具包、?歌?量?价/?粒度情感?歌?料?、快速?化「中文?字」和「阿拉伯?字」、百度知道?答?料?、基于知???的?答系?、jieba_fast 加速版的jieba、正?表?式教程、中文??理解?据集、基于BERT等最新?言模型的抽取式摘要提取、Python利用深度???行文本摘要的?合指南、知???深度??相??料整理、?基大?模平行文本?料、StanfordNLP 0.2.0：?Python版自然?言?理包、NeuralNLP-NeuralClassifier：???源深度??文本分?工具、端到端的封?域??系?、中文命名?体??：NeuroNER vs. BertNER、新?事件?索抽取、2019年百度的三元?抽取比?：“科?空??”源?、基于依存句法的?放域文本知?三元?抽取和知??构建、中文的GPT2??代?、ML-NLP - 机器??(Machine Learning)NLP面?中常考到的知??和代???、nlp4han:中文自然?言?理工具集(?句/分?/?性?注/??/句法分析/??分析/NER/N元?法/HMM/代?消解/情感分析/拼??查、XLM：Facebook的跨?言????言模型、用基于BERT的微?和特征提取方法??行知???百度百科人物???性抽取、中文自然?言?理相?的?放任?-?据集-?前最佳?果、CoupletAI - 基于CNN+Bi-LSTM+Attention 的自????系?、抽象知???、MiningZhiDaoQACorpus - 580万百度知道?答?据挖掘?目、brat rapid annotation tool: 序列?注工具、大?模中文知????据：1.4??体、?据增?在机器翻?及其他nlp任?中的?用及效果、allennlp??理解:支持多种?据和模型、PDF表格?据提取工具 、 Graphbrain：AI?源?件?和科研工具，目的是促?自?意?提取和文本理解以及知?的探索和推?、??自???系?、基于命名?体??的??自?摘要、中文?言理解??基准，包括代表性的?据集&基准模型&?料?&排行榜、?洞 OCR 文字?? 、?包含表格的?描?片中??表格和文字、???移、Python口?自然?言?理工具集(英文)、 similarity：相似度?算工具包，java??、海量中文???ALBERT模型 、Transformers 2.0 、基于大?模音??据集Audioset的音?增? 、Poplar：网?版自然?言?注工具、?片文字去除，可用于漫?翻? 、186种?言的?字叫法?、Amazon?布基于知?的人-人?放?域???据集 、中文文本??模?代?、繁?体?? 、 Python??的多种文本可?性?价指?、?似于人名/地名/??机构名的命名体???据集 、?南大?《知???》研究生?程(?料)、. 英文拼??查? 、 wwsearch是企?微信后台自研的全文?索引擎、CHAMELEON：深度??新?推荐系?元架构 、 8篇?文梳理BERT相?模型?展与反思、DocSearch：免?文?搜索引擎、 LIDA：?量交互式???注工具 、aili - the fastest in-memory index in the East ?半球最快并?索引 、知????音工作?目、自然?言生成?源大全 、中日?分??mecab的Python接口?、中文文本摘要/???提取、?字字符特征提取器 (featurizer)，提取?字的特征（?音特征、字形特征）用做深度??的特征、中文生成任?基准?? 、中文???据集、中文任?基准?? - 代表性的?据集-基准(???)模型-?料?-baseline-工具包-排行榜、PySS3：面向可解?AI的SS3文本分?器机器可?化工具 、中文NLP?据集列表、COPE - 格律???程序、doccano：基于网?的?源?同多?言文本?注工具 、PreNLP：自然?言??理?、??的??解析器，用????中提取??信息、用于中文?聊的GPT2模型：GPT2-chitchat、基于?索聊天机器人多?????相??源列表(Leaderboards、Datasets、Papers)、(Colab)抽象文本摘要??集?(教程 、??拼音?据、高效模糊搜索工具、NLP?据增??源集、微???机器人框架 、 GitHub Typo Corpus：大?模GitHub多?言拼???/?法???据集、TextCluster：短文本聚???理模? Short text cluster、面向?音??的中文文本?范化、BLINK：最先?的?体?接?、BertPunc：基于BERT的最先???修复模型、Tokenizer：快速、可定制的文本??化?、中文?言理解??基准，包括代表性的?据集、基准(???)模型、?料?、排行榜、spaCy ??文本挖掘与信息提取 、 NLP任?示例?目代?集、 python拼??查?、chatbot-list - 行???于智能客服、聊天机器人的?用和架构、算法分享和介?、?音?量?价指?(MOSNet, BSSEval, STOI, PESQ, SRMR)、 用138GB?料??的法文RoBERTa????言模型 、BERT-NER-Pytorch：三种不同模式的BERT中文NER??、?道?典 - 有道?典的命令行版本，支持英?互查和在?查?、2019年NLP亮?回?、 Chinese medical dialogue data 中文?????据集 、最好的?字?字(中文?字)-阿拉伯?字??工具、 基于百科知??的中文??多??/???取与特定句子????消歧、awesome-nlp-sentiment-analysis - 情感分析、情?原因??、?价?象和?价?抽取、LineFlow：面向所有深度??框架的NLP?据高效加?器、中文??NLP公??源整理 、MedQuAD：(英文)???答?据集、?自然?言?字串解析???整?和浮??、Transfer Learning in Natural Language Processing (NLP) 、面向?音??的中文/英文?音?典、Tokenizers：注重性能与多功能性的最先?分?器、CLUENER ?粒度命名?体?? Fine Grained Named Entity Recognition、 基于BERT的中文命名?体??、中文?言?据?、NLP?据集/基准任?大列表、nlp相?的一些?文及代?, 包括主?模型、?向量(Word Embedding)、命名?体??(NER)、文本分?(Text Classificatin)、文本生成(Text Generation)、文本相似性(Text Similarity)?算等，涉及到各种与nlp相?的算法，基于keras和tensorflow 、Python文本挖掘/NLP??示例、 Blackstone：面向非?构化法律文本的spaCy pipeline和NLP模型通?同??替???文本“??” 、中文 ??? ELECTREA 模型: 基于?抗?? pretrain Chinese Model 、albert-chinese-ner - 用????言模型ALBERT做中文NER 、基于GPT2的特定主?文本生成/文本增?、?源????言模型合集、多?言句向量包、??、??和??：一种可控高效的文本生成方法、 英文??大列表 、attnvis：GPT2、BERT等transformer?言模型注意力交互可?化、CoVoST：Facebook?布的多?种?音-文本翻??料?，包括11种?言(法?、德?、荷??、俄?、西班牙?、意大利?、土耳其?、波斯?、瑞典?、蒙古?和中文)的?音、文字??及英文?文、Jiagu自然?言?理工具 - 以BiLSTM等模型?基?，提供知????系抽取 中文分? ?性?注 命名?体?? 情感分析 新??? ??? 文本摘要 文本聚?等功能、用unet???文?表格的自???，表格重建、NLP事件提取文??源列表 、 金融?域自然?言?理研究?源大列表、CLUEDatasetSearch - 中英文NLP?据集：搜索所有中文NLP?据集，附常用英文NLP?据集 、medical_NER - 中文??知???命名?体?? 、(哈佛)?因果推理的免??、知???相????料/?据集/工具?源大列表、Forte：?活?大的自然?言?理pipeline工具集 、Python字符串相似性算法?、PyLaia：面向手?文?分析的深度??工具包、TextFooler：??文本分?/推理的?抗文本生成模?、Haystack：?活、?大的可?展?答(QA)框架、中文??短?抽取工具"
hacksider/Deep-Live-Cam,72731,https://github.com/hacksider/Deep-Live-Cam.git,real time face swap and one-click video deepfake with only a single image
microsoft/markitdown,72363,https://github.com/microsoft/markitdown.git,Python tool for converting files and office documents to Markdown.
d2l-ai/d2l-zh,71929,https://github.com/d2l-ai/d2l-zh.git,《?手?深度??》：面向中文?者、能?行、可??。中英文版被70多??家的500多所大?用于教?。
abi/screenshot-to-code,70795,https://github.com/abi/screenshot-to-code.git,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue)
pallets/flask,70223,https://github.com/pallets/flask.git,The Python micro framework for building web applications.
swisskyrepo/PayloadsAllTheThings,69486,https://github.com/swisskyrepo/PayloadsAllTheThings.git,A list of useful payloads and bypass for Web Application Security and Pentest/CTF
josephmisiti/awesome-machine-learning,69458,https://github.com/josephmisiti/awesome-machine-learning.git,"A curated list of awesome Machine Learning frameworks, libraries and software."
binary-husky/gpt_academic,69159,https://github.com/binary-husky/gpt_academic.git,"?GPT/GLM等LLM大?言模型提供?用化交互接口，特?优化?文??/?色/?作体?，模?化??，支持自定?快捷按?&函?插件，支持Python和C++等?目剖析&自?解功能，PDF/LaTex?文翻?&??功能，支持并行??多种LLM模型，支持chatglm3等本地模型。接入通?千?, deepseekcoder, ??星火, 文心一言, llama2, rwkv, claude2, moss等。"
browser-use/browser-use,68722,https://github.com/browser-use/browser-use.git,?? Make websites accessible for AI agents. Automate tasks online with ease.
python/cpython,68552,https://github.com/python/cpython.git,The Python programming language
sherlock-project/sherlock,68241,https://github.com/sherlock-project/sherlock.git,Hunt down social media accounts by username across social networks
Alvin9999/new-pac,67523,https://github.com/Alvin9999/new-pac.git,翻?-科?上网、自由上网、免?科?上网、免?翻?、fanqiang、油管youtube/??下?、?件、VPN、一?翻???器，vps一?搭建翻?服?器?本/教程，免?shadowsocks/ss/ssr/v2ray/goflyway??/??，翻?梯子，??、手机、iOS、安卓、windows、Mac、Linux、路由器翻?、科?上网、youtube??下?、youtube油管?像/免翻?网站、美?apple id共享??、翻?-科?上网-梯子
ansible/ansible,66069,https://github.com/ansible/ansible.git,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com."
xtekky/gpt4free,65020,https://github.com/xtekky/gpt4free.git,"The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5"
keras-team/keras,63364,https://github.com/keras-team/keras.git,Deep Learning for humans
scikit-learn/scikit-learn,63142,https://github.com/scikit-learn/scikit-learn.git,scikit-learn: machine learning in Python
Shubhamsaboo/awesome-llm-apps,62920,https://github.com/Shubhamsaboo/awesome-llm-apps.git,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
labmlai/annotated_deep_learning_paper_implementations,62813,https://github.com/labmlai/annotated_deep_learning_paper_implementations.git,"????? 60+ Implementations/tutorials of deep learning papers with side-by-side notes ??; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), ?? reinforcement learning (ppo, dqn), capsnet, distillation, ... ??"
All-Hands-AI/OpenHands,62600,https://github.com/All-Hands-AI/OpenHands.git,"?? OpenHands: Code Less, Make More"
openinterpreter/open-interpreter,60357,https://github.com/openinterpreter/open-interpreter.git,A natural language interface for computers
localstack/localstack,60266,https://github.com/localstack/localstack.git,?? A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline
meta-llama/llama,58675,https://github.com/meta-llama/llama.git,Inference code for Llama models
FoundationAgents/MetaGPT,58100,https://github.com/FoundationAgents/MetaGPT.git,"?? The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
scrapy/scrapy,58065,https://github.com/scrapy/scrapy.git,"Scrapy, a fast high-level web crawling & scraping framework for Python."
hiyouga/LLaMA-Factory,56814,https://github.com/hiyouga/LLaMA-Factory.git,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
zylon-ai/private-gpt,56515,https://github.com/zylon-ai/private-gpt.git,"Interact with your documents using the power of GPT, 100% privately, no data leaks"
vllm-project/vllm,56424,https://github.com/vllm-project/vllm.git,A high-throughput and memory-efficient inference and serving engine for LLMs
soimort/you-get,56365,https://github.com/soimort/you-get.git,:arrow_double_down: Dumb downloader that scrapes the web
commaai/openpilot,55932,https://github.com/commaai/openpilot.git,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars."
ageitgey/face_recognition,55328,https://github.com/ageitgey/face_recognition.git,The world's simplest facial recognition api for Python and the command line
ultralytics/yolov5,55119,https://github.com/ultralytics/yolov5.git,YOLOv5 ?? in PyTorch > ONNX > CoreML > TFLite
CorentinJ/Real-Time-Voice-Cloning,54912,https://github.com/CorentinJ/Real-Time-Voice-Cloning.git,Clone a voice in 5 seconds to generate arbitrary speech in real-time
AntonOsika/gpt-engineer,54778,https://github.com/AntonOsika/gpt-engineer.git,CLI platform to experiment with codegen. Precursor to: https://lovable.dev
deepfakes/faceswap,54441,https://github.com/deepfakes/faceswap.git,Deepfakes Software For All
Textualize/rich,53471,https://github.com/Textualize/rich.git,Rich is a Python library for rich text and beautiful formatting in the terminal.
Z4nzu/hackingtool,53385,https://github.com/Z4nzu/hackingtool.git,ALL IN ONE Hacking Tool For Hackers
psf/requests,53218,https://github.com/psf/requests.git,"A simple, yet elegant, HTTP library."
PaddlePaddle/PaddleOCR,53076,https://github.com/PaddlePaddle/PaddleOCR.git,"Awesome multilingual OCR and Document Parsing toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)"
unclecode/crawl4ai,51647,https://github.com/unclecode/crawl4ai.git,"???? Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
OpenBB-finance/OpenBB,51453,https://github.com/OpenBB-finance/OpenBB.git,"Financial data platform for analysts, quants and AI agents."
xai-org/grok-1,50451,https://github.com/xai-org/grok-1.git,Grok open release
RVC-Boss/GPT-SoVITS,50385,https://github.com/RVC-Boss/GPT-SoVITS.git,1 min voice data can also be used to train a good TTS model! (few shot voice cloning)
FoundationAgents/OpenManus,49241,https://github.com/FoundationAgents/OpenManus.git,"No fortress, purely open ground.  OpenManus is Coming."
microsoft/autogen,49130,https://github.com/microsoft/autogen.git,A programming framework for agentic AI ?? PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour
Asabeneh/30-Days-Of-Python,48831,https://github.com/Asabeneh/30-Days-Of-Python.git,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace.  These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw"
charlax/professional-programming,47949,https://github.com/charlax/professional-programming.git,A collection of learning resources for curious software engineers
minimaxir/big-list-of-naughty-strings,47393,https://github.com/minimaxir/big-list-of-naughty-strings.git,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.
pandas-dev/pandas,46411,https://github.com/pandas-dev/pandas.git,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
lllyasviel/Fooocus,46099,https://github.com/lllyasviel/Fooocus.git,Focus on prompting and generating
odoo/odoo,45259,https://github.com/odoo/odoo.git,Odoo. Open Source Apps To Grow Your Business.
ultralytics/ultralytics,44814,https://github.com/ultralytics/ultralytics.git,Ultralytics YOLO ??
oobabooga/text-generation-webui,44805,https://github.com/oobabooga/text-generation-webui.git,"LLM UI with advanced features, easy setup, and multiple backend support."
unslothai/unsloth,44717,https://github.com/unslothai/unsloth.git,"Fine-tuning & Reinforcement Learning for LLMs. ?? Train OpenAI gpt-oss, Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM."
run-llama/llama_index,43916,https://github.com/run-llama/llama_index.git,LlamaIndex is the leading framework for building LLM-powered agents over your data.
karpathy/nanoGPT,43884,https://github.com/karpathy/nanoGPT.git,"The simplest, fastest repository for training/finetuning medium-sized GPTs."
opendatalab/MinerU,42556,https://github.com/opendatalab/MinerU.git,A high-quality tool for convert PDF to Markdown and JSON.一站式?源高?量?据提取工具，?PDF??成Markdown和JSON格式。
coqui-ai/TTS,42271,https://github.com/coqui-ai/TTS.git,"???? - a deep learning toolkit for Text-to-Speech, battle-tested in research and production"
faif/python-patterns,41987,https://github.com/faif/python-patterns.git,A collection of design patterns/idioms in Python
getsentry/sentry,41821,https://github.com/getsentry/sentry.git,Developer-first error tracking and performance monitoring
apache/airflow,41741,https://github.com/apache/airflow.git,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
freqtrade/freqtrade,41651,https://github.com/freqtrade/freqtrade.git,"Free, open source crypto trading bot"
Stability-AI/stablediffusion,41625,https://github.com/Stability-AI/stablediffusion.git,High-Resolution Image Synthesis with Latent Diffusion Models
mingrammer/diagrams,41381,https://github.com/mingrammer/diagrams.git,:art: Diagram as Code for prototyping cloud system architectures
apachecn/ailearning,41317,https://github.com/apachecn/ailearning.git,AiLearning：?据分析+机器????+?性代?+PyTorch+NLTK+TF2
hpcaitech/ColossalAI,41116,https://github.com/hpcaitech/ColossalAI.git,"Making large AI models cheaper, faster and more accessible"
zai-org/ChatGLM-6B,41113,https://github.com/zai-org/ChatGLM-6B.git,ChatGLM-6B: An Open Bilingual Dialogue Language Model | ?源?????言模型
streamlit/streamlit,41099,https://github.com/streamlit/streamlit.git,Streamlit — A faster way to build and share data apps.
psf/black,40856,https://github.com/psf/black.git,The uncompromising Python code formatter
mitmproxy/mitmproxy,40285,https://github.com/mitmproxy/mitmproxy.git,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.
chubin/cheat.sh,39947,https://github.com/chubin/cheat.sh.git,the only cheat sheet you need
deepspeedai/DeepSpeed,39877,https://github.com/deepspeedai/DeepSpeed.git,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
gradio-app/gradio,39649,https://github.com/gradio-app/gradio.git,"Build and share delightful machine learning apps, all in Python. ?? Star to support our work!"
virattt/ai-hedge-fund,39596,https://github.com/virattt/ai-hedge-fund.git,An AI Hedge Fund Team
harry0703/MoneyPrinterTurbo,39474,https://github.com/harry0703/MoneyPrinterTurbo.git,利用AI大模型，一?生成高清短?? Generate short videos with one click using AI LLM.
google-research/bert,39457,https://github.com/google-research/bert.git,TensorFlow code and pre-trained models for BERT
floodsung/Deep-Learning-Papers-Reading-Roadmap,39241,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap.git,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!
lm-sys/FastChat,39034,https://github.com/lm-sys/FastChat.git,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena."
mem0ai/mem0,38790,https://github.com/mem0ai/mem0.git,Universal memory layer for AI Agents; Announcing OpenMemory MCP - local and secure memory management.
ray-project/ray,38664,https://github.com/ray-project/ray.git,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
zhayujie/chatgpt-on-wechat,38616,https://github.com/zhayujie/chatgpt-on-wechat.git,基于大模型搭建的聊天机器人，同?支持 微信公??、企?微信?用、??、?? 等接入，可??ChatGPT/Claude/DeepSeek/文心一言/??星火/通?千?/ Gemini/GLM-4/Kimi/LinkAI，能?理文本、?音和?片，??操作系?和互?网，支持基于自有知???行定制企?智能客服。
QuivrHQ/quivr,38351,https://github.com/QuivrHQ/quivr.git,"Opiniated RAG for integrating GenAI in your apps ??   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. "
ccxt/ccxt,37789,https://github.com/ccxt/ccxt.git,A JavaScript / TypeScript / Python / C# / PHP / Go cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges
2noise/ChatTTS,37650,https://github.com/2noise/ChatTTS.git,A generative speech model for daily dialogue.
gto76/python-cheatsheet,37602,https://github.com/gto76/python-cheatsheet.git,Comprehensive Python Cheatsheet
LAION-AI/Open-Assistant,37455,https://github.com/LAION-AI/Open-Assistant.git,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so."
TencentARC/GFPGAN,37020,https://github.com/TencentARC/GFPGAN.git,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.
Aider-AI/aider,36991,https://github.com/Aider-AI/aider.git,aider is AI pair programming in your terminal
0voice/interview_internal_reference,36979,https://github.com/0voice/interview_internal_reference.git,2023年最新??，阿里，??，百度，美?，??等技?面??目，以及答案，?家出?人分析??。
docling-project/docling,36889,https://github.com/docling-project/docling.git,Get your documents ready for gen AI
satwikkansal/wtfpython,36577,https://github.com/satwikkansal/wtfpython.git,What the f*ck Python? ??
babysor/MockingBird,36574,https://github.com/babysor/MockingBird.git,??AI??: 5秒?克隆您的?音并生成任意?音?容 Clone a voice in 5 seconds to generate arbitrary speech in real-time
httpie/cli,36437,https://github.com/httpie/cli.git,"?? HTTPie CLI  — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more."
openai/gym,36415,https://github.com/openai/gym.git,A toolkit for developing and comparing reinforcement learning algorithms.
NanmiCoder/MediaCrawler,36317,https://github.com/NanmiCoder/MediaCrawler.git,小???? | ??爬虫、抖音?? | ??爬虫、快手?? | ??爬虫、B 站?? ｜ ??爬虫、微博帖子 ｜ ??爬虫、百度?吧帖子 ｜ 百度?吧??回复爬虫  | 知乎?答文章｜??爬虫
hiroi-sora/Umi-OCR,36293,https://github.com/hiroi-sora/Umi-OCR.git,"OCR software, free and offline. ?源、免?的离?OCR?件。支持截屏/批量?入?片，PDF文???，排除水印/?眉??，?描/生成二??。?置多??言?。"
crewAIInc/crewAI,36143,https://github.com/crewAIInc/crewAI.git,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks."
XingangPan/DragGAN,35911,https://github.com/XingangPan/DragGAN.git,Official Code for DragGAN (SIGGRAPH 2023)
hankcs/HanLP,35548,https://github.com/hankcs/HanLP.git,中文分? ?性?注 命名?体?? 依存句法分析 成分句法分析 ??依存分析 ??角色?注 指代消解 ?格?? ??相似度 新??? ???短?提取 自?摘要 文本分?聚? 拼音?繁?? 自然?言?理
mindsdb/mindsdb,35414,https://github.com/mindsdb/mindsdb.git,AI Analytics Engine that can answer questions over large scale data. - The only MCP Server you'll ever need
sqlmapproject/sqlmap,35136,https://github.com/sqlmapproject/sqlmap.git,Automatic SQL injection and database takeover tool
